Genomes	Enzyme_1	Enzyme_2	Enzyme_3	Enzyme_4	Enzyme_5	Enzyme_6	Enzyme_7	Enzyme_8	Enzyme_9	Enzyme_10	Enzyme_11	Enzyme_12	Enzyme_13	Enzyme_14	Enzyme_15	Enzyme_16	Enzyme_17	Enzyme_18	Enzyme_19	Enzyme_20	Enzyme_21	Enzyme_22	Enzyme_23	Enzyme_24	Enzyme_25	Enzyme_26	Enzyme_27	Enzyme_28	Enzyme_29	Enzyme_30	Enzyme_31	Enzyme_32	Enzyme_33	Enzyme_34	Enzyme_35	Enzyme_36	Enzyme_37	Enzyme_38	Enzyme_39	Enzyme_40	Enzyme_41	Enzyme_42	Enzyme_43	Enzyme_44	Enzyme_45	Enzyme_46	Enzyme_47	Enzyme_48	Enzyme_49	Enzyme_50	Enzyme_51	Enzyme_52	Enzyme_53	Enzyme_54	Enzyme_55	Enzyme_56	Enzyme_57	Enzyme_58	Enzyme_59	Enzyme_60	Enzyme_61	Enzyme_62	Enzyme_63	Enzyme_64	Enzyme_65	Enzyme_66	Enzyme_67	Enzyme_68	Enzyme_69	Enzyme_70	Enzyme_71	Enzyme_72	Enzyme_73	Enzyme_74	Enzyme_75	Enzyme_76	Enzyme_77	Enzyme_78	Enzyme_79	Enzyme_80	Enzyme_81	Enzyme_82	Enzyme_83	Enzyme_84	Enzyme_85	Enzyme_86	Enzyme_87	Enzyme_88	Enzyme_89	Enzyme_90	Enzyme_91	Enzyme_92	Enzyme_93	Enzyme_94	Enzyme_95	Enzyme_96	Enzyme_97	Enzyme_98	Enzyme_99	Enzyme_100	Enzyme_101	Enzyme_102	Enzyme_103	Enzyme_104	Enzyme_105	Enzyme_106
Streptomyces sp. NRRL F-3273 JOIO01	14	1	4	2	1	3	1	6	1	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	8	5	1	4	1	1	1	1	1	13	1	4	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	12	1	1	1	15	3	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	6	7	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. NRRL F-5681 JOHA01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	6	5	1	4	1	1	1	1	1	14	1	3	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	10	1	1	1	14	3	1	2	1	1	5	3	1	1	14	1	1	3	1	5	11	2	2	2	2	4	1	1	3	1	1	4	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. NRRL S-1868 JOGD01	16	1	4	2	1	3	1	5	1	2	2	4	1	4	4	1	2	4	3	4	1	7	1	3	1	0	6	1	1	4	1	2	1	1	1	15	1	2	1	1	5	2	2	1	1	1	2	1	6	3	2	3	2	1	2	1	13	1	3	3	17	3	1	1	1	1	4	5	1	1	16	3	1	3	0	2	10	2	4	1	1	5	1	2	2	1	1	6	7	1	1	2	2	4	2	1	1	1	1	1	2	3	1	8	5	1
Streptomyces sp. NRRL S-623 JOJC01	15	1	4	2	1	3	1	5	2	2	5	2	1	4	4	1	2	3	2	3	1	9	1	4	3	1	6	4	1	4	1	2	1	1	2	12	1	2	1	1	3	3	1	1	1	1	2	1	5	1	2	1	1	1	3	2	12	1	1	1	17	3	1	2	1	1	4	5	1	1	15	2	2	4	1	3	11	3	2	1	2	3	1	1	3	1	1	6	5	1	2	1	1	2	1	1	1	1	1	1	2	3	1	9	3	1
Streptomyces sp. NRRL S-481 JOCV01	16	0	7	2	1	2	2	6	1	2	4	2	1	4	3	1	1	3	3	3	1	7	1	3	6	0	4	3	2	4	1	2	1	1	2	17	1	2	2	1	3	4	1	1	1	0	1	1	5	1	2	2	1	1	2	2	11	2	2	2	16	1	1	2	2	1	4	8	1	1	18	2	1	4	0	3	8	1	2	2	1	3	1	2	3	2	2	5	4	1	2	1	1	2	1	1	1	1	1	1	2	3	1	8	3	0
Streptomyces sp. NRRL F-5123 JOHY01	20	1	4	2	1	2	1	6	2	2	4	2	1	5	3	1	2	7	3	3	1	7	1	4	2	0	4	1	1	4	1	1	1	1	1	13	1	2	2	1	3	2	1	1	1	2	2	2	4	1	2	1	1	1	1	1	8	1	1	1	12	1	1	1	1	1	5	7	1	1	10	1	1	2	0	2	7	2	2	2	1	2	1	1	3	1	3	5	4	1	4	2	2	2	1	1	1	1	1	1	2	3	1	4	3	1
Streptomyces sp. NRRL S-1813 JOHB01	15	1	5	2	1	3	1	6	2	2	2	2	1	4	3	1	4	5	3	5	1	9	0	4	4	0	12	4	2	5	1	1	1	1	1	14	1	2	3	1	3	2	1	1	1	1	1	1	4	2	2	2	1	1	3	1	16	1	2	2	18	3	1	2	1	1	6	4	1	1	14	2	1	6	0	3	8	1	2	1	1	1	2	1	2	1	2	7	10	1	1	1	2	2	1	1	2	1	1	1	2	3	1	7	4	1
Streptomyces sp. NRRL F-5053 JOHT01	16	1	4	2	1	3	1	5	2	2	2	5	1	4	3	1	3	4	3	4	1	7	1	3	1	0	6	1	1	5	1	2	1	1	1	15	1	2	1	1	4	2	1	1	1	1	2	1	6	3	2	3	2	1	2	1	13	1	3	3	17	3	1	1	1	1	4	5	1	1	17	3	1	3	0	2	11	2	3	1	1	4	1	3	1	1	1	6	7	1	1	1	3	5	3	2	1	1	1	1	2	3	1	9	5	1
Streptomyces sp. NRRL F-2202 JOIH01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	7	5	1	4	1	1	1	1	1	14	1	3	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	11	1	1	1	15	3	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	5	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. NRRL F-5702 JOHD01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	7	5	1	4	1	1	1	1	1	13	1	4	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	11	1	1	1	15	2	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	4	7	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. NRRL B-3229 JOGP01	23	2	5	2	1	3	1	7	1	2	4	2	1	4	3	2	3	5	3	4	1	8	1	3	4	0	6	4	2	5	1	1	1	1	1	13	1	2	1	1	3	2	2	2	3	1	2	1	3	1	2	1	1	1	3	1	15	2	1	2	17	2	1	2	1	1	6	8	1	1	17	3	1	2	1	4	12	1	2	2	1	4	1	2	3	2	2	7	9	1	3	1	1	2	1	1	1	1	1	1	2	3	1	12	5	1
Streptomyces sp. NRRL B-11253 JNWN01	14	1	6	2	2	3	1	6	2	2	5	3	2	5	3	1	3	4	3	4	1	9	1	3	3	1	14	2	1	4	1	1	1	1	1	16	1	2	2	1	3	3	2	1	1	1	2	1	5	2	2	2	1	1	3	2	14	1	2	2	16	5	2	3	1	1	7	6	1	1	17	3	1	6	0	3	12	2	2	1	2	3	1	2	4	1	1	6	9	1	1	1	2	3	2	2	1	1	1	1	2	3	1	9	6	1
Streptomyces sp. NRRL S-646 JODC01	20	2	7	2	1	4	1	9	1	2	4	2	1	5	4	2	4	6	3	5	1	9	1	3	4	1	5	6	2	6	1	2	1	2	2	17	1	2	2	1	5	3	1	1	2	3	2	3	5	1	2	2	1	1	3	1	12	1	2	2	15	2	2	3	1	1	8	7	1	1	14	3	1	4	0	3	8	3	4	2	2	6	1	2	7	2	1	7	14	2	3	1	2	2	1	2	2	1	1	1	2	3	1	7	4	2
Streptomyces sp. NRRL F-2890 JOIG01	14	1	2	1	2	1	1	5	2	2	3	2	1	4	3	1	2	3	2	3	1	8	1	4	2	1	6	1	0	5	1	1	1	1	1	9	1	2	1	1	5	2	1	1	1	1	1	1	4	2	2	2	1	1	1	1	7	1	2	2	8	1	1	1	1	1	4	5	1	1	8	2	1	2	0	2	6	3	4	1	1	3	1	2	5	1	1	4	6	1	2	1	2	2	1	1	1	1	1	1	2	3	1	6	3	1
Streptomyces sp. NRRL F-5065 JOHV01	15	0	4	3	1	3	1	5	1	2	3	2	1	4	4	2	1	3	2	4	1	4	1	3	4	2	10	3	1	2	1	1	1	1	1	12	1	2	1	1	4	4	2	1	3	1	1	0	7	1	2	1	1	1	2	1	9	1	1	1	9	1	1	2	1	1	6	4	1	1	10	3	1	4	1	4	10	3	3	0	2	5	1	1	3	2	2	8	9	1	1	1	2	2	1	1	1	1	1	1	2	3	1	8	3	1
Streptomyces sp. NRRL S-1824 JOGZ01	21	2	4	2	1	3	1	7	2	2	4	2	1	4	3	2	3	4	3	3	1	11	1	3	3	1	4	4	0	4	1	1	1	1	1	13	1	2	1	1	3	2	1	1	1	1	2	1	4	1	2	1	1	1	2	1	10	1	1	1	13	1	1	2	1	1	4	6	1	1	11	3	1	4	0	4	8	3	2	3	2	3	1	2	4	2	2	4	10	1	2	1	2	2	1	1	1	1	1	1	2	3	1	7	4	1
Streptomyces sp. NRRL S-475 JOJB01	20	1	6	2	1	4	1	6	1	2	5	3	1	4	3	2	4	5	3	4	1	8	1	4	4	0	5	5	2	5	1	1	1	2	1	16	1	2	1	1	5	1	1	1	2	1	1	1	4	1	2	1	1	2	2	1	14	1	1	1	17	0	1	2	1	1	7	8	1	1	18	1	1	4	0	3	8	1	4	2	2	6	1	2	4	2	2	8	7	1	2	1	1	3	1	1	1	1	1	1	2	3	1	9	3	1
Streptomyces sp. NRRL B-1381 JOHG01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	8	5	1	4	1	1	2	1	1	14	1	4	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	12	1	1	1	14	2	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	4	7	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. NRRL S-146 JOAW01	15	1	6	1	1	3	1	6	1	2	4	2	1	4	4	2	4	4	3	3	1	6	1	3	4	0	9	5	2	5	1	2	1	2	0	14	1	2	1	1	5	2	1	1	2	1	1	1	5	2	2	2	3	2	3	1	7	1	2	2	10	0	1	2	1	1	5	6	1	1	7	2	1	4	0	3	7	3	4	2	2	5	1	2	4	3	2	6	8	1	2	1	1	2	1	1	1	1	1	0	2	3	1	5	1	1
Streptomyces sp. NRRL S-337 JOIX01	13	1	6	2	1	2	1	8	2	2	4	3	1	4	3	1	1	4	3	4	1	8	1	3	4	0	10	4	1	5	1	1	1	1	1	13	2	2	2	1	4	2	1	1	1	1	2	2	5	1	2	1	1	1	2	3	15	1	1	1	19	2	1	2	1	1	5	5	1	1	15	2	1	7	0	4	12	2	2	1	2	2	1	1	3	2	1	6	9	0	1	1	3	3	1	2	1	1	1	1	2	3	1	6	5	1
Streptomyces sp. NRRL F-3218 JOIP01	14	1	4	2	1	3	1	6	1	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	8	5	1	4	1	1	1	1	1	13	1	4	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	12	1	1	1	15	3	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	5	7	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. KhCrAH-40 AZVG01	19	1	3	2	1	3	1	5	2	2	4	2	1	4	3	1	2	4	2	3	1	7	1	4	2	1	5	4	1	4	1	2	2	2	1	9	2	2	1	1	4	1	1	1	1	1	2	1	5	1	2	1	2	1	2	1	12	2	1	1	14	1	1	2	1	1	4	7	1	1	15	1	1	2	0	3	9	2	2	2	2	2	1	2	2	1	1	4	5	1	2	4	2	2	1	1	1	1	1	1	2	3	1	8	4	1
Streptomyces sp. NRRL F-6677 JOHP01	15	2	5	2	1	3	2	5	1	2	2	2	1	4	4	1	1	6	3	4	1	4	1	3	3	1	5	2	1	4	1	1	1	1	1	13	1	2	1	1	4	1	2	1	1	1	1	1	4	1	2	1	2	1	2	1	11	1	1	1	12	3	1	2	1	1	4	6	1	1	11	1	1	3	0	4	8	1	3	3	2	3	1	2	4	2	2	6	7	1	4	1	2	2	1	1	1	1	1	1	2	3	1	8	4	2
Streptomyces sp. NRRL S-1022 JOIU01	18	2	6	1	1	3	1	8	1	2	4	2	1	4	4	1	2	5	3	4	1	11	1	3	4	0	9	4	1	5	1	1	1	1	2	18	1	3	1	1	4	3	3	2	2	2	2	2	4	1	2	1	1	1	2	1	11	1	1	1	14	4	1	2	1	1	8	7	1	1	17	3	1	6	1	4	8	2	3	2	2	5	1	2	5	2	1	9	7	1	2	1	1	2	1	1	1	1	1	1	2	3	1	9	5	1
Streptomyces sp. MspMP-M5 AREE01	10	1	5	2	1	2	1	7	2	2	2	2	2	4	3	1	2	4	3	4	1	6	1	3	3	1	7	1	2	5	1	1	1	1	1	18	2	2	2	1	5	2	1	1	1	1	1	1	5	1	2	1	1	1	3	2	12	1	1	1	13	5	1	2	1	1	3	4	1	1	11	3	2	6	0	2	7	2	3	1	2	3	1	1	3	1	1	7	8	1	1	1	2	2	1	1	1	1	1	1	2	3	1	6	4	1
Streptomyces sp. NBRC 110035 BBNN01	14	1	3	2	1	3	1	5	1	2	2	2	1	5	4	1	2	4	3	4	1	4	1	4	3	1	9	2	2	4	1	2	1	1	1	11	1	2	1	1	5	2	1	1	1	1	1	1	6	1	2	1	1	1	2	1	10	1	1	1	12	0	1	2	2	1	6	3	1	1	12	1	1	3	0	4	7	1	4	2	2	4	1	2	3	1	1	7	4	1	2	1	1	3	2	1	2	1	1	1	2	3	1	8	3	1
Streptomyces sp. NRRL S-455 JOCT01	16	2	6	2	1	2	2	6	1	2	4	2	1	4	4	1	2	5	3	4	1	8	1	4	4	0	7	4	2	5	1	2	1	1	2	16	1	2	2	1	3	4	1	1	2	1	1	2	5	2	2	2	1	1	2	2	12	2	2	2	16	2	1	2	2	1	5	8	1	1	18	2	1	4	0	3	9	1	2	2	1	4	1	2	3	2	2	5	5	1	2	1	1	2	1	1	1	1	1	1	2	3	1	8	3	1
Streptomyces sp. KhCrAH-340 ARDX01	19	1	3	2	1	3	1	5	2	2	4	2	1	4	3	1	2	4	2	3	1	7	1	4	2	1	5	4	1	4	1	2	2	2	1	9	2	2	1	1	4	1	1	1	1	1	2	1	5	1	2	1	2	1	2	1	13	2	1	1	15	1	1	2	1	1	4	7	1	1	16	1	1	2	0	3	10	2	2	2	2	2	1	2	2	1	1	4	5	1	2	4	2	2	1	1	1	1	1	1	2	3	1	9	4	1
Streptomyces sp. NRRL B-24720 JOJO01	20	2	5	2	1	3	1	7	1	2	4	2	1	4	4	2	3	5	3	4	1	11	1	3	3	1	4	4	0	4	1	2	1	1	1	13	1	2	1	1	3	2	1	1	1	1	2	1	4	1	2	1	1	1	2	1	12	1	1	1	13	1	1	2	1	1	4	7	1	1	11	3	1	4	0	3	7	1	2	3	2	4	1	1	3	2	3	4	14	1	2	1	2	2	1	1	1	1	1	1	2	3	1	7	5	1
Streptomyces sp. NRRL S-1448 JOGE01	13	1	6	2	1	2	1	7	2	2	4	3	1	4	4	1	1	5	3	4	1	8	1	3	4	0	10	4	1	5	1	1	1	1	1	13	2	2	2	1	4	2	1	1	1	1	1	2	6	1	2	1	1	1	3	3	17	1	1	1	20	2	1	2	1	1	4	5	1	1	16	2	1	7	0	5	13	2	2	1	2	2	1	1	3	2	1	6	10	1	1	1	3	3	1	2	1	1	1	1	2	3	1	6	5	1
Streptomyces sp. LaPpAH-95 AQWQ01	19	1	3	2	1	3	1	6	3	2	5	2	1	4	3	1	2	4	2	3	1	6	1	4	2	1	6	4	1	4	1	2	1	2	1	9	2	2	1	1	4	1	1	1	1	1	2	1	4	2	2	2	2	1	2	1	9	2	2	2	9	1	1	2	1	1	4	5	1	1	9	2	1	4	0	3	7	2	2	1	2	3	1	1	3	1	1	6	6	1	2	2	3	2	1	1	1	1	1	1	2	3	1	5	3	1
Streptomyces sp. NRRL WC-3540 JOCW01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	7	5	1	4	1	1	1	1	1	14	1	3	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	11	1	1	1	14	4	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	5	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. NRRL F-2799 JOIF01	16	0	6	2	1	3	1	5	1	2	3	2	1	4	3	1	2	3	2	4	1	4	1	3	3	0	4	4	0	4	1	2	2	1	1	11	1	2	1	1	3	2	1	1	1	1	1	1	5	1	2	1	1	1	1	1	8	1	1	1	10	2	1	2	1	1	5	3	1	1	12	2	1	2	1	4	8	1	2	3	2	3	1	2	4	2	1	5	6	1	1	1	1	2	1	1	2	1	1	1	2	3	1	6	3	1
Streptomyces sp. NRRL S-474 JODD01	16	0	6	2	1	2	2	6	1	2	4	2	1	3	2	1	2	5	3	3	1	9	1	4	4	0	7	4	2	5	1	2	1	1	2	17	1	2	2	1	3	4	1	1	2	1	1	1	5	2	2	2	1	1	2	2	12	2	2	2	16	1	1	2	2	1	5	8	1	1	18	2	1	4	0	3	9	1	2	2	1	3	1	2	3	2	2	5	5	1	2	1	1	2	1	1	1	1	1	1	2	3	1	8	3	1
Streptomyces sp. NRRL B-12105 JNZW01	15	2	5	2	1	3	2	5	1	2	2	2	1	4	4	1	1	6	3	4	1	4	1	3	3	1	5	2	1	4	1	1	1	1	1	13	1	2	1	1	4	1	2	1	1	1	1	1	4	1	2	1	2	1	2	1	11	1	1	1	12	3	1	2	1	1	4	6	1	1	11	1	1	3	0	4	8	1	3	3	2	3	1	2	4	2	2	6	7	1	4	1	2	2	1	1	1	1	1	1	2	3	1	8	4	2
Streptomyces sp. NBRC 110027 BBNO01	13	1	6	2	1	2	1	8	1	2	4	2	1	4	3	1	2	5	3	5	1	8	1	3	4	0	8	4	2	6	1	1	1	1	1	13	1	2	1	1	3	2	1	1	1	1	1	1	3	1	2	1	2	1	3	1	13	1	1	1	16	5	1	2	2	1	6	4	1	1	14	2	1	4	0	5	11	2	2	1	1	3	1	1	3	1	1	5	6	1	1	1	1	2	1	1	1	1	1	1	2	3	1	6	3	1
Streptomyces sp. LaPpAH-108 AREG01	15	2	5	2	1	3	1	6	2	2	5	2	1	4	3	1	2	3	2	3	1	9	1	3	3	0	6	5	0	5	1	1	1	1	1	11	1	2	1	1	3	1	1	1	1	1	1	1	4	1	2	1	1	1	1	1	7	1	1	1	9	1	1	2	1	1	6	3	1	1	10	1	1	5	1	4	8	3	2	3	2	4	1	2	4	2	1	5	4	1	1	1	2	2	1	1	2	1	1	1	2	3	1	6	3	1
Streptomyces sp. NRRL S-340 JOIY01	20	1	6	1	1	3	1	8	1	2	2	2	1	4	4	1	1	4	3	4	1	10	1	3	3	1	6	3	1	5	1	2	1	2	2	15	1	3	1	1	3	2	2	1	1	2	1	2	4	1	2	1	1	1	2	1	7	2	1	1	11	2	1	2	1	1	5	5	1	1	9	3	1	4	0	3	7	1	2	3	1	2	1	1	6	2	1	5	13	1	3	1	3	2	1	1	2	1	1	1	2	3	1	5	5	1
Streptomyces sp. NRRL F-5917 JOHQ01	11	1	3	2	2	3	1	4	1	2	2	2	1	5	3	1	3	4	3	3	1	7	1	3	2	1	3	2	1	5	1	1	1	1	1	14	1	2	1	1	3	2	1	1	1	1	3	1	6	1	2	1	1	1	2	1	9	1	1	1	10	5	1	1	1	1	5	3	1	1	11	3	1	3	0	3	8	2	2	1	1	4	1	2	1	1	1	7	7	1	1	2	1	2	1	2	1	1	1	1	2	3	1	6	3	1
Streptomyces sp. NRRL S-813 JODG01	20	0	6	2	2	3	1	8	2	2	4	4	1	5	5	2	4	7	3	8	1	12	1	3	5	1	8	5	1	7	1	1	1	1	1	15	1	3	2	1	5	1	1	1	2	1	1	1	5	1	2	1	1	1	2	1	11	1	1	1	17	3	1	2	1	1	6	8	1	1	15	1	1	3	0	3	9	1	4	3	2	4	1	4	5	2	2	7	10	0	4	1	2	4	1	2	2	1	1	1	2	3	1	7	5	2
Streptomyces sp. NRRL F-6676 JOHS01	15	2	5	2	1	3	2	5	1	2	2	2	1	4	4	1	1	6	3	4	1	4	1	3	3	1	5	2	1	4	1	1	1	1	1	13	1	2	1	1	4	1	2	1	1	1	1	1	4	1	2	1	2	1	2	1	11	1	1	1	12	3	1	2	1	1	4	6	1	1	11	1	1	3	0	4	8	1	3	3	2	3	1	2	4	2	2	6	7	1	4	1	2	2	1	1	1	1	1	1	2	3	1	7	4	2
Streptomyces sp. NRRL F-5008 JOHW01	18	2	4	2	1	4	1	7	2	2	4	2	1	4	3	2	3	6	3	4	1	7	1	4	3	2	7	4	3	6	1	2	1	2	1	11	1	2	1	2	3	3	1	1	1	1	2	1	4	1	2	1	1	1	2	1	12	2	1	2	14	3	1	2	1	1	4	7	1	1	15	5	1	3	1	7	10	3	2	2	1	5	1	2	3	2	1	6	9	1	2	1	1	2	1	2	2	1	1	1	2	3	1	9	5	1
Streptomyces sp. NRRL F-6674 JNXF01	15	2	5	2	1	3	2	5	1	2	2	2	1	4	4	1	1	6	3	4	1	4	1	3	3	1	5	2	1	4	1	1	1	1	1	13	1	2	1	1	4	1	2	1	1	1	1	1	4	1	2	1	2	1	2	1	11	1	1	1	12	3	1	2	1	1	4	6	1	1	11	1	1	3	0	4	8	2	3	3	2	3	1	2	4	2	2	6	7	1	4	1	2	2	1	1	1	1	1	1	2	3	1	8	4	2
Streptomyces sp. NRRL F-5639 JOGK01	11	1	3	2	2	3	1	4	1	2	2	2	1	5	3	1	3	4	3	3	1	8	1	3	1	1	3	2	1	5	1	1	1	1	1	13	1	2	1	1	3	3	1	1	1	1	3	1	7	1	2	1	1	1	2	1	9	1	1	1	11	6	1	1	1	1	5	3	1	1	12	2	1	3	0	3	9	2	2	1	1	4	1	2	1	1	1	7	7	1	1	2	1	2	1	2	1	1	1	1	2	3	1	7	3	1
Streptomyces sp. NRRL F-3307 JOIC01	23	2	5	1	1	3	1	8	1	2	4	3	1	5	5	2	4	6	3	5	1	7	1	4	3	1	9	4	1	6	1	1	1	1	1	14	1	3	1	1	5	2	1	1	2	1	1	1	6	2	2	1	1	1	2	1	10	2	1	1	16	3	1	2	1	1	6	8	1	1	16	3	1	3	0	3	8	2	4	3	2	6	1	3	5	2	1	9	11	2	2	1	2	3	1	2	1	1	1	1	2	3	1	8	3	2
Streptomyces sp. LaPpAH-165 AREB01	19	1	3	2	1	3	1	6	3	2	5	2	1	4	3	1	2	4	2	3	1	6	1	4	2	1	6	4	1	4	1	2	1	2	1	9	2	2	1	1	4	1	1	1	1	1	2	1	4	2	2	2	2	1	2	1	9	2	2	2	9	1	1	2	1	1	4	5	1	1	9	2	1	4	0	3	7	2	2	1	2	3	1	1	3	1	1	6	6	1	2	2	3	2	1	1	1	1	1	1	2	3	1	5	3	1
Streptomyces sp. NRRL S-31 JOCB01	17	1	5	1	1	3	1	8	1	2	4	2	1	5	4	1	2	4	3	4	1	8	1	5	4	1	8	4	1	5	1	1	1	1	2	17	2	2	2	1	5	3	3	2	2	1	2	1	3	1	2	1	1	1	1	1	11	2	1	1	13	6	1	2	1	1	5	7	1	1	15	3	1	8	1	5	11	1	3	1	2	5	1	2	3	2	1	9	11	1	2	1	1	2	1	1	1	1	1	1	2	3	1	4	2	1
Streptomyces sulphureus DSM 40104 ARLC01	16	1	5	2	1	2	1	4	2	2	2	3	1	4	3	1	1	4	3	5	1	8	1	4	1	2	7	3	2	3	1	1	1	1	1	8	1	2	1	1	4	2	1	1	1	1	3	1	6	1	2	1	1	1	3	1	10	1	1	1	11	5	1	1	1	1	6	4	1	1	10	2	1	5	0	3	9	3	3	2	1	5	1	2	3	1	1	4	8	1	2	1	1	3	2	1	1	1	1	1	2	3	1	4	3	1
Streptomyces sp. NRRL WC-3703 JOCH01	14	1	6	2	2	2	1	6	2	2	5	3	2	4	3	1	3	4	3	4	1	9	1	3	3	1	14	2	1	4	1	1	2	1	1	18	1	2	2	1	4	2	2	1	1	1	2	1	5	2	2	2	1	1	3	2	15	1	2	2	17	6	2	3	1	1	7	6	1	1	17	4	1	6	0	3	12	2	3	1	2	2	1	2	4	1	1	6	9	1	1	1	2	3	2	2	1	1	1	1	2	3	1	9	5	1
Streptomyces tsukubaensis NRRL18488 AJSZ01	14	1	3	2	1	2	1	3	1	2	3	2	1	4	4	1	2	3	3	3	1	7	1	4	3	1	5	1	3	5	1	2	1	1	1	14	1	2	2	1	3	1	1	1	1	1	1	1	2	2	2	1	2	1	3	2	11	1	1	1	12	1	1	2	1	1	4	2	1	1	11	2	1	5	1	4	7	2	2	1	2	3	1	1	3	1	1	6	5	1	1	1	1	2	1	1	1	1	1	1	2	3	1	6	4	1
Streptomyces sp. URHA0041 JNIH01	20	1	4	2	1	3	1	6	2	2	4	2	1	4	4	1	2	6	3	6	1	5	1	3	2	0	3	2	0	3	1	2	1	1	1	10	1	2	2	1	5	1	1	1	1	1	3	1	4	1	2	1	1	1	1	1	10	2	1	1	14	0	1	1	1	1	3	5	1	1	12	1	1	2	0	3	7	1	4	1	1	2	1	1	3	1	3	5	5	1	3	2	2	2	1	1	1	1	1	1	2	3	1	7	3	1
Streptomyces sp. NRRL WC-3549 JOCS01	15	1	4	2	1	2	1	3	2	2	4	2	0	4	4	1	1	1	1	3	1	6	1	3	1	1	5	2	1	3	1	2	1	2	1	9	1	2	1	0	3	2	2	1	1	1	2	1	3	1	1	1	1	1	2	1	6	1	1	1	8	0	1	2	1	1	3	7	1	1	9	1	1	2	0	2	6	2	2	1	2	3	1	1	2	1	1	7	5	1	2	1	1	2	1	1	1	1	1	0	1	2	1	6	3	1
Streptomyces sp. Tu 6176 JFJQ01	12	1	5	2	1	3	1	6	2	2	3	1	1	4	4	1	1	3	2	3	1	8	1	3	3	1	4	4	1	5	1	1	1	2	2	15	1	2	1	1	3	2	2	1	1	1	1	1	6	1	3	1	1	1	3	1	12	2	1	1	14	4	2	2	1	1	6	7	1	1	12	2	1	6	2	4	9	1	2	2	2	4	1	2	5	2	1	6	10	2	1	2	3	1	1	2	2	1	1	1	3	4	1	6	4	1
Streptomyces sp. PsTaAH-124 AREJ01	16	1	5	2	1	3	1	8	2	2	3	2	1	4	3	1	2	4	2	3	1	8	1	3	3	1	4	4	1	5	1	1	1	3	2	15	1	2	1	1	3	2	2	1	1	1	1	1	7	1	3	1	1	1	3	1	12	2	1	1	15	4	2	2	2	1	6	7	1	1	11	2	1	6	2	5	9	2	2	2	2	5	1	2	5	2	1	6	11	2	1	2	3	2	1	2	2	1	1	1	3	4	1	6	4	1
Streptomyces varsoviensis NRRL ISP-5346 JOBF01	12	1	4	3	2	3	1	5	2	2	4	4	1	4	3	1	2	4	3	5	1	11	1	3	4	0	7	1	2	5	1	1	1	1	1	14	2	2	1	1	6	2	3	1	1	1	1	1	5	1	2	1	1	1	3	1	14	1	1	1	16	5	2	3	1	1	5	6	1	1	16	3	1	4	0	2	8	2	4	1	2	2	2	2	2	1	1	5	10	1	1	1	1	4	3	1	1	2	1	1	3	4	1	6	4	1
