Genomes	Enzyme_1	Enzyme_2	Enzyme_3	Enzyme_4	Enzyme_5	Enzyme_6	Enzyme_7	Enzyme_8	Enzyme_9	Enzyme_10	Enzyme_11	Enzyme_12	Enzyme_13	Enzyme_14	Enzyme_15	Enzyme_16	Enzyme_17	Enzyme_18	Enzyme_19	Enzyme_20	Enzyme_21	Enzyme_22	Enzyme_23	Enzyme_24	Enzyme_25	Enzyme_26	Enzyme_27	Enzyme_28	Enzyme_29	Enzyme_30	Enzyme_31	Enzyme_32	Enzyme_33	Enzyme_34	Enzyme_35	Enzyme_36	Enzyme_37	Enzyme_38	Enzyme_39	Enzyme_40	Enzyme_41	Enzyme_42	Enzyme_43	Enzyme_44	Enzyme_45	Enzyme_46	Enzyme_47	Enzyme_48	Enzyme_49	Enzyme_50	Enzyme_51	Enzyme_52	Enzyme_53	Enzyme_54	Enzyme_55	Enzyme_56	Enzyme_57	Enzyme_58	Enzyme_59	Enzyme_60	Enzyme_61	Enzyme_62	Enzyme_63	Enzyme_64	Enzyme_65	Enzyme_66	Enzyme_67	Enzyme_68	Enzyme_69	Enzyme_70	Enzyme_71	Enzyme_72	Enzyme_73	Enzyme_74	Enzyme_75	Enzyme_76	Enzyme_77	Enzyme_78	Enzyme_79	Enzyme_80	Enzyme_81	Enzyme_82	Enzyme_83	Enzyme_84	Enzyme_85	Enzyme_86	Enzyme_87	Enzyme_88	Enzyme_89	Enzyme_90	Enzyme_91	Enzyme_92	Enzyme_93	Enzyme_94	Enzyme_95	Enzyme_96	Enzyme_97	Enzyme_98	Enzyme_99	Enzyme_100	Enzyme_101	Enzyme_102	Enzyme_103	Enzyme_104	Enzyme_105	Enzyme_106
Streptomyces sp. CNY243 ARHU01	22	1	3	2	1	2	1	5	1	2	4	2	1	4	2	2	2	6	3	3	1	9	1	4	3	0	5	1	0	5	1	1	1	1	1	11	1	2	1	1	3	2	1	1	1	1	2	1	4	2	2	2	2	2	1	2	12	1	1	1	15	1	2	1	1	1	7	8	1	1	13	2	1	5	0	4	11	2	2	1	1	2	1	1	4	1	2	10	7	1	3	1	1	2	1	2	1	1	1	1	2	3	1	5	3	1
Streptomyces monomycini JNYL01	15	1	5	2	2	2	1	6	1	2	5	2	2	4	3	1	2	4	3	3	1	9	1	3	3	0	12	1	1	6	1	1	1	1	1	14	1	3	1	1	4	2	2	1	1	1	1	1	5	1	2	1	1	1	3	2	15	1	1	1	16	6	1	2	1	1	6	5	1	1	18	4	2	4	0	3	9	2	3	1	2	2	1	2	4	1	1	8	7	1	1	1	1	2	1	1	1	1	1	1	2	3	1	7	6	1
Streptomyces puniceus JOFA01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	7	4	1	4	1	1	1	1	1	14	1	3	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	12	1	1	1	15	2	1	2	1	1	5	3	1	1	14	1	1	4	1	4	10	2	2	2	2	4	1	1	3	1	1	5	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. AA0539 ALNP01	13	1	2	1	2	1	1	5	2	2	2	2	1	4	3	1	2	3	2	3	1	6	1	3	2	2	4	1	0	4	1	2	1	1	1	10	1	2	1	1	3	2	2	1	1	1	1	1	4	2	2	1	1	2	1	1	8	1	1	1	8	2	1	1	1	1	4	4	1	1	9	2	1	3	0	2	6	3	2	1	1	2	1	2	4	1	1	6	5	1	2	1	2	2	1	1	1	1	1	1	2	3	1	6	4	1
Streptomyces sp. Amel2xE9 ARPE01	15	1	5	2	1	3	1	5	2	2	5	2	1	5	3	1	2	3	2	3	1	7	1	4	4	1	6	5	1	5	1	2	1	2	2	13	1	3	1	1	3	2	2	2	2	1	1	1	5	1	2	1	1	1	2	2	7	1	1	1	11	3	1	2	1	1	6	3	1	1	10	2	1	4	1	5	10	2	2	2	2	6	1	2	7	2	1	5	7	1	1	1	2	2	1	1	2	1	1	1	2	3	1	7	3	1
Streptomyces sp. CNS654 JNLT01	14	1	4	2	1	2	1	7	2	2	5	2	1	4	3	1	2	3	2	3	1	9	1	3	3	1	7	4	1	4	1	2	1	1	1	16	1	2	1	1	3	3	2	2	1	1	2	1	6	2	2	2	1	1	2	1	9	1	2	2	15	1	1	2	1	1	4	4	1	1	15	1	1	3	0	3	10	2	2	1	2	3	1	1	3	1	1	5	6	1	1	2	1	2	1	1	1	1	1	0	2	3	1	7	4	1
Streptomyces griseus XylebKG-1 ADFC02	14	1	4	2	1	3	1	6	2	2	4	2	1	4	3	1	2	3	2	3	1	12	1	3	3	1	6	5	2	4	1	1	1	1	2	16	1	2	2	1	3	1	2	1	1	1	2	1	4	1	2	1	1	2	2	1	11	1	1	1	15	1	1	2	1	1	4	7	1	1	16	1	1	3	1	3	8	2	2	1	2	3	1	1	3	1	1	5	6	1	2	1	1	2	1	1	1	1	1	1	2	3	1	7	5	1
Streptomyces ochraceiscleroticus JOAX01	20	1	5	3	2	2	1	7	1	2	2	2	1	4	3	2	5	5	3	4	1	8	1	3	3	0	8	4	2	6	1	1	1	1	1	18	2	2	2	1	5	2	1	1	2	1	2	1	4	1	2	1	1	1	3	1	15	2	1	1	16	3	2	2	2	1	4	8	1	1	15	3	1	3	0	5	13	1	3	1	2	3	1	2	6	1	2	6	13	1	3	1	2	2	1	5	1	1	1	1	2	3	1	10	3	3
Streptomyces sp. HCCB10043 AWOQ01	4	1	2	1	1	2	1	3	1	2	4	3	1	3	2	1	1	3	2	3	1	9	1	2	3	1	6	3	1	4	0	2	1	1	1	12	1	2	2	1	3	1	2	1	1	1	2	1	2	1	2	0	1	1	2	1	9	1	0	0	10	0	1	2	1	1	4	5	1	1	9	1	1	4	0	3	8	2	2	2	1	2	0	1	2	1	1	4	5	0	2	1	2	3	0	2	1	1	1	1	2	3	1	7	0	1
Streptomyces sp. AA1529 ALAP01	14	1	4	1	1	3	1	4	1	2	2	3	1	4	4	1	2	4	3	3	1	7	1	3	1	0	5	2	2	4	1	2	1	1	1	12	1	2	1	1	4	1	1	1	1	1	1	1	4	1	2	1	1	1	2	1	11	1	1	1	12	3	1	1	1	1	4	3	1	1	12	3	1	3	0	2	9	2	3	1	1	4	1	3	1	1	1	4	4	1	1	3	1	3	1	1	1	1	1	1	2	3	1	7	3	1
Streptomyces sp. KhCrAH-244 AREA01	19	1	3	2	1	3	1	5	2	2	4	2	1	4	3	1	2	4	2	3	1	7	1	4	2	1	5	4	1	4	1	2	2	2	1	9	2	2	1	1	4	1	1	1	1	1	2	1	5	1	2	1	2	1	2	1	13	2	1	1	15	1	1	2	1	1	4	7	1	1	16	1	1	2	0	3	10	2	2	2	2	2	1	2	2	1	1	4	5	1	2	4	2	2	1	1	1	1	1	1	2	3	1	9	4	1
Streptomyces mediolani JOJK01	13	1	4	2	1	2	1	7	2	2	4	2	1	4	3	1	2	3	2	3	1	9	1	3	4	1	8	5	1	4	1	2	1	1	1	14	1	3	1	1	3	2	1	1	1	1	2	1	6	1	2	1	1	2	3	2	10	1	1	1	14	0	1	2	1	1	4	5	1	1	10	1	1	3	1	3	9	2	2	1	2	3	1	1	4	2	1	5	7	1	2	1	1	2	1	2	1	1	1	1	2	3	1	7	4	1
Streptomyces scopuliridis RB72 JOEI01	20	1	5	2	1	3	1	4	1	2	5	2	1	4	3	2	3	4	3	6	1	9	1	3	3	1	8	1	1	5	1	2	1	1	1	17	1	2	1	1	4	1	1	1	1	1	1	1	3	2	2	2	2	1	3	1	8	1	1	2	10	3	1	2	1	1	4	7	1	1	10	2	1	3	1	3	8	2	3	1	2	3	1	2	7	1	1	5	13	1	2	1	1	2	1	3	1	1	1	1	2	3	1	6	3	1
Streptomyces seoulensis JNXP01	14	0	6	2	1	3	1	6	1	2	4	2	1	5	4	1	2	3	2	4	1	4	1	3	4	0	5	4	0	4	1	2	2	1	1	11	1	2	1	1	4	2	1	1	1	1	1	1	5	1	2	1	1	1	1	1	8	1	1	1	10	2	1	2	1	1	5	3	1	1	12	2	1	2	1	4	8	2	3	3	2	3	1	2	4	4	1	6	5	1	1	2	1	2	1	1	2	1	1	1	2	3	1	7	3	1
Streptomyces griseus subsp. rhodochrous JOFE01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	2	3	2	3	1	9	1	3	3	1	7	5	1	4	1	1	1	1	1	14	1	3	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	11	1	1	1	14	4	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	4	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces sp. NRRL S-1896 JOIV01	24	2	6	1	1	3	1	8	1	2	4	3	1	5	5	2	4	6	3	5	1	7	1	4	3	1	8	4	1	6	1	1	1	1	1	15	1	2	1	1	5	2	1	1	2	1	1	1	6	2	2	1	2	1	2	1	10	2	1	1	16	3	1	2	1	1	6	7	1	1	16	3	1	3	0	3	8	2	4	3	2	5	1	2	5	3	1	9	12	3	2	1	2	3	1	3	1	1	1	1	2	3	1	8	4	2
