Cycle 	Time	Temp	Pro0	Pro25	Pro50	Pro75	Pro100	Pro0_NoHIsF	Pro50_NoHisF	Pro100_NoHisF
36	1711.2	28.2	0.4754000008	0.546299994	0.5392000079	0.7242000103	0.7929999828	0.4920000136	0.5932999849	0.8920000196
37	1749.5	28.2	0.4767000079	0.5447000265	0.5469999909	0.7203999758	0.7853999734	0.4912999868	0.5676000118	0.8838999867
38	1787.8	28.3	0.476000011	0.5404999852	0.5056999922	0.7178999782	0.7814999819	0.4914000034	0.5533999801	0.8756999969
39	1826	28.2	0.4702000022	0.5333999991	0.5415999889	0.7129999995	0.768599987	0.4839999974	0.5662000179	0.8788999915
40	1864.3	28.3	0.4749000072	0.5345000029	0.5152000189	0.7149000168	0.7641000152	0.4914999902	0.5630999804	0.8636000156
41	1902.6	28.2	0.4747999907	0.5313000083	0.4936999977	0.7081999779	0.7594000101	0.4898999929	0.5690000057	0.8532000184
42	1940.8	28.3	0.4745999873	0.5295000076	0.522300005	0.7106000185	0.7519999743	0.4914000034	0.5659999847	0.8549000025
43	1979.1	28.3	0.4731999934	0.5289999843	0.5152000189	0.7088999748	0.7465000153	0.4911000133	0.5710999966	0.8481000066
44	2017.4	28.3	0.4767999947	0.5253000259	0.4921000004	0.7050999999	0.7447999716	0.4909000099	0.5464000106	0.8431000113
45	2055.6	28.2	0.4756000042	0.5227000117	0.4934000075	0.6965000033	0.7396000028	0.4911000133	0.5584999919	0.8360000253
46	2093.9	28.2	0.4747000039	0.5228999853	0.4995000064	0.7026000023	0.7353000045	0.4880000055	0.5410000086	0.8518000245
47	2132.2	28.2	0.4751000106	0.5203999877	0.4975999892	0.6951000094	0.7333999872	0.488499999	0.5299999714	0.8440999985
48	2170.4	28.2	0.475699991	0.5171999931	0.4846999943	0.6904000044	0.728399992	0.4889999926	0.5501999855	0.8264999986
49	2208.7	28.2	0.4747000039	0.5170000196	0.4966000021	0.6923000216	0.7254999876	0.4902999997	0.5468999743	0.8255000114
50	2247	28.2	0.4742000103	0.5130000114	0.4909000099	0.6880000234	0.7202000022	0.4893000126	0.5414000154	0.8282999992
51	2285.3	28.2	0.4738000035	0.5135999918	0.5102999806	0.6869000196	0.7166000009	0.489199996	0.5644999743	0.8219000101
52	2323.5	28	0.47299999	0.5130000114	0.497299999	0.6833000183	0.7113999724	0.4889999926	0.5333999991	0.820200026
53	2361.8	28.2	0.4731000066	0.5130000114	0.4656000137	0.6819000244	0.7103999853	0.4887000024	0.5191000104	0.8152999878
54	2400.1	28.2	0.4745000005	0.5103999972	0.4902999997	0.6779999733	0.7063999772	0.489199996	0.527700007	0.815500021
55	2438.4	28.1	0.4747000039	0.5091000199	0.4772999883	0.6719999909	0.7045000196	0.4885999858	0.5198000073	0.8080999851
56	2476.6	28	0.4738999903	0.5101000071	0.4758999944	0.6772999763	0.6998999715	0.4887000024	0.5307000279	0.8104000092
57	2514.9	28	0.475300014	0.5098000169	0.4882000089	0.6729000211	0.6973999739	0.4896999896	0.519299984	0.8098999858
58	2553.2	28	0.4747999907	0.5091000199	0.4799999893	0.6697999835	0.6941000223	0.4876999855	0.5141000152	0.8050000072
59	2591.4	28	0.4699999988	0.5019999743	0.467599988	0.6596999764	0.6880000234	0.4814999998	0.5090000033	0.793900013
60	2629.7	28	0.4727999866	0.5085999966	0.4742000103	0.6664999723	0.6879000068	0.4878999889	0.5322999954	0.8019999862
61	2668	28.2	0.4742000103	0.5066000223	0.451000005	0.6611999869	0.6870999932	0.4878999889	0.5487999916	0.7983999848
62	2706.3	28	0.47299999	0.5070999861	0.4745000005	0.6650000215	0.6826999784	0.4871999919	0.5338000059	0.8014000058
63	2744.6	28.2	0.4744000137	0.506099999	0.467200011	0.6563000083	0.6819000244	0.486499995	0.5286999941	0.7936000228
64	2782.9	28.2	0.4747000039	0.506099999	0.4598999918	0.6553000212	0.6758000255	0.4882000089	0.5195000172	0.7979000211

