Application: Tecan i-control				Tecan i-control , 1.8.50.0				
Device: infinite M1000				Serial number: 902005916				
Firmware: V_1.35_08/2010_S3F (Aug 11 2010/09.36.01)				MAI, V_1.35_08/2010_S3F (Aug 11 2010/09.36.01)				
								
Date:	19/08/2015							
Time:	01:06:24 p.m.							
								
								
System				BA-06679A1CA79C				
User				BA-06679A1CA79C\Infinite Reader				
Plate				Nunclon 96 Flat Bottom Black Polystyrol LumiNunc FluoroNunc [NUN96fb_LumiNunc FluoroNunc.pdfx]				
Plate-ID (Stacker)								
								
List of actions in this measurement script:								
Kinetic								
Fluorescence								
								
								
Label: Label1								
Kinetic Measurement								
Kinetic duration				0:50:00				
Interval Time				Minimal				
Mode				Fluorescence Top Reading				
16	72.5	28.2	20468	21815	40183	42939	40259	36581
17	75.4	28.2	22051	21332	40073	42037	39391	37455
18	78.3	28.2	21874	22130	40181	42433	39975	35989
19	81.2	28.2	22000	22441	39861	42487	39040	37243
20	84	28.3	21883	21283	39800	41455	40559	37152
21	86.9	28.3	22383	21689	41088	41840	40685	36281
22	89.8	28.2	21495	22190	40400	41870	40407	36991
23	92.7	28.2	21218	21135	39702	42196	40581	37387
24	95.6	28.3	21829	21455	40933	42112	40529	36810
25	98.4	28.3	21565	21888	40382	42065	39481	36364
26	101.3	28.2	21110	21686	40415	42694	39200	36515
27	104.2	28.2	22072	21641	40127	42590	40301	35725
28	107.1	28.2	21593	22059	40539	41968	39073	36465
29	110	28.2	22264	20950	41356	41697	38325	35823
30	112.9	28.3	21748	21451	40701	41536	38985	36450
31	115.7	28.3	21314	21105	40394	41777	39937	35761
32	118.6	28.2	21717	21779	39966	41743	39515	36616
33	121.5	28.2	21625	21765	39932	41513	39484	37162
34	124.4	28.2	22051	21038	40109	42311	39820	36702
35	127.3	28.2	21335	21898	40706	41769	38919	36604
36	130.1	28.3	21686	21881	40945	41279	40638	36266
37	133	28.3	21591	22269	40226	42498	39738	35996
38	135.9	28.2	22746	22269	40630	40563	39505	35815
39	138.8	28.2	21714	21439	40567	42752	39057	36415
40	141.7	28.2	21825	21756	40647	42319	40808	36295
41	144.5	28.2	22061	21921	42064	41584	40042	36069
42	147.4	28.3	22033	21275	39716	42286	39375	37312
43	150.3	28.3	20898	21406	41188	42357	39904	35895
44	153.2	28.2	22422	21274	39878	41566	39694	37343
45	156.1	28.2	21531	21493	40964	41603	38570	36096
46	159	28.3	21837	21824	41418	41566	40541	37661
47	161.8	28.3	21862	21979	39823	43135	40196	36789
48	164.7	28.3	22107	20852	40229	42623	39703	37109
49	167.6	28.3	20900	22090	40207	42732	40111	36222
50	170.5	28.3	21444	21677	41486	42237	39785	36175
51	173.3	28.3	21740	22093	40138	42904	38843	36367
52	176.3	28.2	21673	21570	40436	42079	38385	37055
